ID Código Material Técnica Sexo Dibujado Artefacto_(s) Cantidad Dibujado_(s) Sexo_2 Elementos_adicionales_1 2 3 4 5 6 Tocado Elementos_de_la_cara_1 Elementos_de_la_cara_2 Elementos_de_las_orejas_1 Elementos_de_las_orejas_2 Elementos_de_cuello_y_pecho_1 Elementos_de_cuello_y_pecho_2 Elementos_de_cuello_y_pecho_3 Cinturones
77 MO_O01070-1 tumbaga plana femenino si si 4 si femenino_herradura_hacia_abajo doble_espiral N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A collar_largo N/A N/A un_hilo
78 MO_O01072-1 tumbaga plana femenino si si 5 si femenino_herradura_hacia_abajo recipiente cabeza N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_maciza N/A N/A indeterminado
79 MO_O01073-1 tumbaga plana masculino si si 5 si masculino_con_gonadas_hacia_arriba un_palito varios_palitos brazalete N/A N/A N/A no_tiene N/A N/A N/A N/A placa_de_hilo N/A N/A un_hilo
80 MO_O01074-1 tumbaga plana masculino si si 4 si masculino_con_gonadas_hacia_arriba propulsor N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A collar_largo N/A N/A un_hilo
81 MO_O01075-1 tumbaga plana no_tiene si si 3 si no_tiene varios_palitos N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
82 MO_O01076-1 tumbaga plana masculino si si 3 si masculino_con_gonadas_hacia_arriba un_palito N/A N/A N/A N/A N/A casco N/A N/A N/A N/A collar_de_1_o_2_vueltas N/A N/A N/A
83 MO_O01083-1 tumbaga plana no_tiene si si 5 si no_tiene propulsor doble_espiral N/A N/A N/A N/A con_adornos N/A N/A N/A N/A hilo_con_colgantes N/A N/A cuerdas
84 MO_O01085-1 tumbaga plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A N/A N/A N/A un_hilo
85 MO_O01088-1 tumbaga plana masculino si si 4 si masculino_con_gonadas_hacia_arriba un_palito N/A N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A hilo_con_relieve N/A N/A un_hilo
86 MO_O01089-1 tumbaga semi_plana femenino si si 4 si femenino_herradura_hacia_arriba bastones_diversos N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A hilo_con_palos_atravesados N/A N/A un_hilo
87 MO_O01090-1 oro plana no_tiene si si 4 si no_tiene un_palito bastones_diversos N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
88 MO_O01091-1 oro plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A hilo_con_colgantes N/A N/A N/A
89 MO_O01093-1 tumbaga plana masculino si si 4 si masculino_con_gonadas_hacia_arriba propulsor macana N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A hojas
90 MO_O01097-1 oro semi_plana no_tiene si si 2 si no_tiene recipiente N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A N/A
91 MO_O01099-1 tumbaga figurilla no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A alas N/A N/A argollas_simples N/A N/A N/A N/A N/A
92 MO_O01100-1 tumbaga con_nucleo femenino si si 3 si femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A casco N/A N/A N/A N/A collares_largos_con_varias_placas N/A N/A dos_hilos
93 MO_O01101-1 oro repujado indeterminado si si 5 si indeterminado propulsor escudo N/A N/A N/A N/A alas N/A N/A N/A N/A argollas N/A N/A dos_hilos
94 MO_O01239-1 oro plana masculino si si 4 si masculino_con_gonadas_hacia_abajo dos_palitos mochila N/A N/A N/A N/A rectangular_tiras N/A N/A N/A N/A N/A N/A N/A cuerdas
95 MO_O01264-1 oro canasto canastos si si 1 si canastos N/A N/A N/A N/A N/A N/A alas N/A N/A N/A N/A N/A N/A N/A N/A
96 MO_O01843-1 cobre plana femenino si si 4 si femenino_círculo_completo propulsor bastones_diversos bastones_diversos N/A N/A N/A no_tiene N/A N/A N/A N/A collar_de_1_o_2_vueltas N/A N/A N/A
97 MO_O01844-1 cobre plana no_tiene si si 3 si no_tiene un_palito N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A argollas N/A N/A N/A
98 MO_O01846-1 tumbaga plana indeterminado si si 1 si indeterminado N/A N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A N/A
99 MO_O01848-1 tumbaga plana masculino si si 5 si masculino_con_gonadas_hacia_arriba pájaros propulsor N/A N/A N/A N/A cilíndrico N/A N/A colgantes_A N/A dije_con_collares N/A N/A N/A
100 MO_O01849-1 oro plana no_tiene si si 3 si no_tiene N/A N/A N/A N/A N/A N/A cilíndrico N/A N/A colgantes_A N/A inidentificable N/A N/A N/A
101 MO_O01868-1 oro con_nucleo masculino si si 1 si masculino_con_gonadas_hacia_abajo N/A N/A N/A N/A N/A N/A alas N/A N/A N/A N/A N/A N/A N/A N/A
102 MO_O01871-1 tumbaga plana femenino si si 0 no femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A no_tiene N/A N/A N/A N/A N/A N/A N/A N/A
103 MO_O01872-1 tumbaga figurilla femenino si si 5 si femenino_herradura_hacia_abajo ni_idea brazalete N/A N/A N/A N/A casco N/A N/A N/A N/A collar_largo N/A N/A un_hilo
104 MO_O01873-1 tumbaga figurilla femenino si si 5 si femenino_herradura_hacia_abajo poporo un_palito N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A collar_largo N/A N/A un_hilo
105 MO_O01875-1 tumbaga figurilla no_tiene si si 2 si no_tiene propulsor N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A N/A
106 MO_O01878-1 cobre con_nucleo no_tiene si si 1 si no_tiene N/A N/A N/A N/A N/A N/A irregular N/A N/A N/A N/A N/A N/A N/A N/A
107 MO_O01879-1 cobre semi_plana femenino si si 2 si femenino_herradura_hacia_abajo brazalete N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A N/A
108 MO_O01988-1 oro plana masculino si si 3 si masculino_sin_gonadas_hacia_arriba dos_palitos N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A dos_hilos
